"Model","df","logLik","AIC","AICw","AICc","AICcw","BIC"
"JC",327,-50608.8921175603,101871.784235121,0,101879.032976377,0,104587.949519375
"JC+I",328,-49252.9781936116,99161.9563872231,0,99169.2497097427,0,101886.427987332
"JC+G(4)",328,-50069.2063972367,100794.412794473,0,100801.706116993,0,103518.884394582
"JC+G(4)+I",329,-49128.9246398231,98915.8492796463,0,98923.1873216185,0,101648.627195609
"F81",330,-49675.9801418196,100011.960283639,0,100019.343183267,0,102753.044515456
"F81+I",331,-48349.464206988,97360.928413976,7.11515288754364e-196,97368.3563094777,8.15528362697016e-196,100110.318961647
"F81+G(4)",331,-49137.8101233447,98937.6202466894,0,98945.0481421912,0,101687.01079436
"F81+G(4)+I",332,-48221.5249921463,97107.0499842927,9.57601415424009e-141,97114.5230138993,1.07309671693665e-140,99864.7468478173
"K80",328,-50300.9951473435,101257.990294687,0,101265.283617207,0,103982.461894796
"K80+I",329,-48943.6614491322,98545.3228982643,0,98552.6609402365,0,101278.100814227
"K80+G(4)",329,-49761.2310108774,100180.462021755,0,100187.800063727,0,102913.239937717
"K80+G(4)+I",330,-48818.2624878873,98296.5249757745,0,98303.9078754028,0,101037.609207591
"HKY",331,-49346.1704425604,99354.3408851208,0,99361.7687806225,0,102103.731432791
"HKY+I",332,-48054.194319354,96772.388638708,4.48717106188261e-68,96779.8616683146,5.02836405343792e-68,99530.0855022326
"HKY+G(4)",332,-48809.4504584735,98282.9009169471,0,98290.3739465537,0,101040.597780472
"HKY+G(4)+I",333,-47918.4167465871,96502.8334931741,1.53154147838522e-09,96510.351795131,1.67784595053388e-09,99268.8366725527
"SYM",332,-50246.9950589292,101157.990117858,0,101165.463147465,0,103915.686981383
"SYM+I",333,-48912.1617364958,98490.3234729916,0,98497.8417749485,0,101256.32665237
"SYM+G(4)",333,-49707.4018988024,100080.803797605,0,100088.322099562,0,102846.806976983
"SYM+G(4)+I",334,-48783.1009366763,98234.2018733526,0,98241.7655859194,0,101008.511368585
"GTR",335,-49286.4058465545,99242.811693109,0,99250.4209545591,0,102025.427504196
"GTR+I",336,-48036.0010656766,96744.0021313531,6.54672922270731e-62,96751.657079974,6.69846439695878e-62,99534.9242582937
"GTR+G(4)",336,-48751.3812229295,98174.762445859,0,98182.4173944799,0,100965.6845728
"GTR+G(4)+I",337,-47894.1197554821,96462.2395109641,0.999999998468458,96469.9402850574,0.999999998322154,99261.4679537587
